DEPTH,C13Z,C24Z,CALZ,CN,CNCD,GRZ,LSN,PE,PORD,SSN,TENZ,ZCOR,ZDEN
1000.0,0.6726657105556338,0.9301342298724437,0.60438485942256,0.31629251145172277,0.07619478607135577,0.22558667623237216,0.5811282894325323,0.8656415821028701,0.22321114164187805,0.22233928906403866,0.5040463512258472,0.36300225577097867,0.9078316958182999
1004.0040040040041,0.7214384677731124,0.03477800370597928,0.5955225875203762,0.7380094567727146,0.8078169789319981,0.6550389155891475,0.49963147752312786,0.6909511210934897,0.7223248830435083,0.34391742761025323,0.5953691631974888,0.5309418953007454,0.35495014394702773
1008.008008008008,0.6913356763845487,0.612513979994252,0.43284136000392126,0.5570973336225397,0.7252263366884247,0.8675260237003413,0.7126331525681816,0.650956074195588,0.5034049877176536,0.018791672678587168,0.09958468032857126,0.17207123188170081,0.9428355115956484
1012.0120120120121,0.17762813462123472,0.5316023387259264,0.38453558594929793,0.2575464762404769,0.3372091082010311,0.22955255363703297,0.40468998841385195,0.5783647785809142,0.006088885441221659,0.3118471776636368,0.5800165725152985,0.7112673574236235,0.8703791906770014
1016.016016016016,0.2971632231989406,0.44488574395767144,0.3532422061439404,0.42301787098804466,0.8963883995141664,0.9971340704204772,0.9377259662567236,0.018865798645419263,0.5237021836887688,0.8071250629416108,0.6294878867707778,0.33191224934628083,0.632999061659205
1020.0200200200201,0.2364936351905712,0.9803434751407138,0.9860765340922513,0.47776191614792796,0.6409841197893619,0.9345926280389735,0.9951912821459572,0.37471434167308204,0.20713674499789425,0.867187994012835,0.7032827983154424,0.2354179829623917,0.5404403824555606
1024.0240240240241,0.24021882756434776,0.2634193575315631,0.5055938839044994,0.6159613792644348,0.4425197595709006,0.5204061905498408,0.23337907837154237,0.9291020166059561,0.819452203463767,0.42000627708184834,0.6060353347146447,0.8594160924646025,0.2680304868435437
1028.028028028028,0.38169438719611115,0.08791310205559244,0.840428251526424,0.21161679317785398,0.40528302345321876,0.12070246629470616,0.06079765957985972,0.5924475572379212,0.7060812664020836,0.26223613695958536,0.38615555049195116,0.12039523741544378,0.7106118856315804
1032.032032032032,0.5666711208896326,0.8249711182829903,0.1692247690866312,0.3725249807743879,0.8573200665216871,0.5718598548971685,0.6355696478265993,0.784884120876303,0.9053680420350371,0.2513925147998286,0.7586908628913115,0.4369001573041549,0.017816927815548556
1036.036036036036,0.19452067428973652,0.9132856163751935,0.2996816368610803,0.12038499471419084,0.04968786766034328,0.33419180136173676,0.30573158934422895,0.7721719043516917,0.6248227089523866,0.8621079358848388,0.46524978324285704,0.8098036733417406,0.8952247412845316
